2018-07-10 23:13:17,469:qtcode.testview:DEBUG:testview is initialized
2018-07-10 23:13:17,515:qtcode.exampleview:DEBUG:exampleview created
2018-07-10 23:13:53,740:consoleview:INFO:(1128, 297)
2018-07-10 23:13:53,882:consoleview:INFO:(1128, 297)
2018-07-10 23:13:53,984:consoleview:INFO:(1128, 297)
2018-07-10 23:13:54,087:consoleview:INFO:(1128, 297)
2018-07-10 23:13:54,192:consoleview:INFO:(1017, 317)
2018-07-10 23:13:54,305:consoleview:INFO:(824, 363)
2018-07-10 23:13:54,418:consoleview:INFO:(711, 385)
2018-07-10 23:13:54,534:consoleview:INFO:(626, 387)
2018-07-10 23:13:54,638:consoleview:INFO:(581, 373)
2018-07-10 23:13:54,748:consoleview:INFO:(521, 358)
2018-07-10 23:13:54,850:consoleview:INFO:(456, 348)
2018-07-10 23:13:54,954:consoleview:INFO:(417, 386)
2018-07-10 23:13:55,058:consoleview:INFO:(403, 453)
2018-07-10 23:13:55,162:consoleview:INFO:(400, 511)
2018-07-10 23:13:55,266:consoleview:INFO:(405, 558)
2018-07-10 23:13:55,372:consoleview:INFO:(431, 612)
2018-07-10 23:13:55,476:consoleview:INFO:(493, 651)
2018-07-10 23:13:55,580:consoleview:INFO:(544, 617)
2018-07-10 23:13:55,684:consoleview:INFO:(551, 482)
2018-07-10 23:13:55,787:consoleview:INFO:(516, 370)
2018-07-10 23:13:55,890:consoleview:INFO:(473, 303)
2018-07-10 23:13:55,992:consoleview:INFO:(416, 258)
2018-07-10 23:13:56,096:consoleview:INFO:(376, 255)
2018-07-10 23:13:56,202:consoleview:INFO:(373, 256)
2018-07-10 23:13:56,307:consoleview:INFO:(386, 193)
2018-07-10 23:13:56,410:consoleview:INFO:(394, 226)
2018-07-10 23:13:56,514:consoleview:INFO:(262, 375)
2018-07-10 23:13:56,618:consoleview:INFO:(337, 501)
2018-07-10 23:13:56,723:consoleview:INFO:(477, 534)
2018-07-10 23:13:56,833:consoleview:INFO:(527, 497)
2018-07-10 23:13:56,943:consoleview:INFO:(669, 447)
2018-07-10 23:13:57,051:consoleview:INFO:(881, 431)
2018-07-10 23:13:57,163:consoleview:INFO:(1066, 420)
2018-07-10 23:13:57,268:consoleview:INFO:(1185, 457)
2018-07-10 23:13:57,376:consoleview:INFO:(1293, 540)
2018-07-10 23:13:57,481:consoleview:INFO:(1424, 617)
2018-07-10 23:13:57,589:consoleview:INFO:(1503, 641)
2018-07-10 23:13:57,697:consoleview:INFO:(1569, 630)
2018-07-10 23:13:57,805:consoleview:INFO:(1620, 564)
2018-07-10 23:13:57,912:consoleview:INFO:(1646, 510)
2018-07-10 23:13:58,015:consoleview:INFO:(1663, 470)
2018-07-10 23:13:58,123:consoleview:INFO:(1669, 435)
2018-07-10 23:13:58,230:consoleview:INFO:(1714, 366)
2018-07-10 23:13:58,339:consoleview:INFO:(1703, 332)
2018-07-10 23:13:58,448:consoleview:INFO:(1611, 274)
2018-07-10 23:13:58,556:consoleview:INFO:(1533, 265)
2018-07-10 23:13:58,664:consoleview:INFO:(1421, 291)
2018-07-10 23:13:58,767:consoleview:INFO:(1081, 364)
2018-07-10 23:13:58,871:consoleview:INFO:(756, 425)
2018-07-10 23:13:58,973:consoleview:INFO:(662, 473)
2018-07-10 23:13:59,081:consoleview:INFO:(612, 543)
2018-07-10 23:13:59,188:consoleview:INFO:(537, 608)
2018-07-10 23:13:59,295:consoleview:INFO:(453, 675)
2018-07-10 23:13:59,402:consoleview:INFO:(440, 768)
2018-07-10 23:13:59,504:consoleview:INFO:(442, 787)
2018-07-10 23:13:59,613:consoleview:INFO:(493, 819)
2018-07-10 23:13:59,718:consoleview:INFO:(693, 836)
2018-07-10 23:13:59,821:consoleview:INFO:(839, 830)
2018-07-10 23:13:59,926:consoleview:INFO:(868, 822)
2018-07-10 23:14:00,029:consoleview:INFO:(911, 809)
2018-07-10 23:14:00,136:consoleview:INFO:(925, 830)
2018-07-10 23:14:00,241:consoleview:INFO:(941, 945)
2018-07-10 23:14:00,349:consoleview:INFO:(1003, 1002)
2018-07-10 23:14:00,459:consoleview:INFO:(1071, 975)
2018-07-10 23:14:00,568:consoleview:INFO:(1178, 955)
2018-07-10 23:14:00,677:consoleview:INFO:(1267, 941)
2018-07-10 23:14:00,785:consoleview:INFO:(1385, 927)
2018-07-10 23:14:00,895:consoleview:INFO:(1475, 930)
2018-07-10 23:14:00,999:consoleview:INFO:(1629, 938)
2018-07-10 23:14:01,105:consoleview:INFO:(1711, 951)
2018-07-10 23:14:01,215:consoleview:INFO:(1726, 934)
2018-07-10 23:14:01,317:consoleview:INFO:(1741, 842)
2018-07-10 23:14:01,424:consoleview:INFO:(1737, 827)
2018-07-10 23:14:01,528:consoleview:INFO:(1737, 815)
2018-07-10 23:14:01,635:consoleview:INFO:(1739, 769)
2018-07-10 23:14:01,742:consoleview:INFO:(1739, 768)
2018-07-10 23:14:01,848:consoleview:INFO:(1739, 768)
2018-07-10 23:14:01,956:consoleview:INFO:(1739, 768)
2018-07-10 23:14:02,062:consoleview:INFO:(1739, 768)
2018-07-10 23:14:02,168:consoleview:INFO:(1739, 768)
2018-07-10 23:14:02,271:consoleview:INFO:(1739, 768)
